voice_id	measured_lufs	gain_db_to_target	volume_linear_to_target	eq	length_scale_base	pitch_semitones	dur_s	words	measured_wpm	median_f0_hz	f0_p10_hz	f0_p90_hz	voiced_ratio	sex_guess	sex_confidence	newSpeed	newVol
35	-15.7	-4.3	0.61	off	1.1	0	16.42	68	248.53	141.35	110.25	219.65	0.75	male	0.27	0.97	1.48
36	-18.1	-1.9	0.8	off	1.1	0	16.74	68	243.7	94.23	83.46	512.79	0.69	male	0.8	0.95	1.12
37	-15.2	-4.8	0.58	off	1.1	0	18.92	68	215.6	177.82	154.2	379.53	0.76	ambiguous	0.4	0.84	1.56
38	-16.4	-3.6	0.66	off	1.1	0	17.25	68	236.49	193.42	170.93	247.75	0.73	female	0.21	0.92	1.36
39	-15.3	-4.7	0.58	off	1.1	0	18.08	68	225.7	179.27	156.38	408.33	0.76	ambiguous	0.4	0.88	1.55
40	-15.8	-4.2	0.62	off	1.09	0	20.81	68	196.11	205.12	165.79	275.63	0.8	female	0.5	0.76	1.46
41	-16.3	-3.7	0.65	off	1.1	0	18.41	68	221.58	167.05	129.71	208.02	0.75	ambiguous	0.5	0.86	1.38
42	-17	-3	0.71	off	1.1	0	18.69	68	218.27	128.95	105	440.14	0.66	male	0.52	0.85	1.27
43	-17.9	-2.1	0.79	off	1.1	0	18.41	68	221.58	98.44	83.21	265.66	0.7	male	0.8	0.86	1.15
44	-15.5	-4.5	0.6	off	1.07	0	21.1	68	193.41	125.28	92.26	390.99	0.8	male	0.59	0.75	1.51
45	-17.7	-2.3	0.77	off	1.1	0	20.33	68	200.7	183.75	148.99	250.57	0.73	ambiguous	0.5	0.78	1.17
46	-14	-6	0.5	off	1.1	0	20.05	68	203.49	198.65	166.04	256.4	0.82	female	0.34	0.79	1.8
47	-16.7	-3.3	0.68	off	1.1	0	19.08	68	213.89	198.65	167.81	408.33	0.75	female	0.27	0.83	1.32
48	-16.1	-3.9	0.64	off	1.1	0	20.03	68	203.72	109.16	85.14	433.22	0.77	male	0.8	0.79	1.41
49	-16.5	-3.5	0.67	off	1	0	22.7	68	179.76	127.46	91.88	488.93	0.7	male	0.55	0.70	1.35
50	-16.7	-3.3	0.68	off	1.1	0	18.72	68	218	97.14	81.46	501.14	0.73	male	0.8	0.85	1.32
51	-17.1	-2.9	0.72	off	1.1	0	18.45	68	221.16	113.08	89.45	512.79	0.79	male	0.8	0.86	1.26
52	-18.8	-1.2	0.87	off	1.1	0	18.36	68	222.28	108.62	95.45	427.36	0.7	male	0.8	0.86	1.03
53	-16.4	-3.6	0.66	off	1.1	0	18.69	68	218.27	126.72	99.32	175	0.77	male	0.71	0.85	1.36
54	-15.2	-4.8	0.58	off	1.1	0	19.12	68	213.37	256.4	212.02	384.84	0.75	female	0.8	0.83	1.56
55	-15.5	-4.5	0.6	off	1.1	0	19.09	68	213.76	123.88	102.56	408.33	0.78	male	0.62	0.83	1.51
56	-17.4	-2.6	0.74	off	1	0	24.24	68	168.31	176.4	151.03	227.32	0.76	ambiguous	0.5	0.65	1.21
57	-15.9	-4.1	0.62	off	1.1	0	18.03	68	226.29	234.57	191.74	282.69	0.78	female	1	0.88	1.44
